AniNum,BmdGcm2,LG,LGLength,LgAvOfl,MG,MGLength,MgAvOfl,PerFat,avLgFl,avMa,avMgFl,avRvO2,fMaxLg,fMaxLgT,fMaxMg,fMaxMgT,femur,femurN,group,mass,maxFAlongTendonLG,maxFAlongTendonMG,maxJump,maxPower,mtuLengLG,mtuLengMG,nLgFl,nMgFl,optPenAngLg,optPenAngMg,sumExtensors,tendonCrossAv,tendonCrossMin,tendonE,tendonK,tendonSampleLength,tendonSlackLengthLGmm,tendonSlackLengthMGmm,tibia,tibiaN,tmt,tmtN,toe,toeN
751,0.156,12.09,95.7733386583141,0.277696741898093,12.69,125.862052027416,0.298010537199282,11.8,29.0476468294351,0.852887245994825,34.3046550997807,114.776246157058,123.217078091007,119.320593371132,120.51618938429,118.476313264257,86.6333333333333,1.07856652341706,B,1.8,123.215884846778,120.515566242137,6.21885373996856,378.057779849615,155.451482424187,183.327576652539,1.0460204405313,1.15112221944156,0.252154776366972,0.184250505100591,137.54,5.05828587096774,2.76852167,481704419.211936,67289.7759945567,36,124.978564569727,146.801323383259,130.533333333333,1.12848501126409,81.8,1.08788709843489,60.8333333333333,0.996005081958939
752,0.148,10,140.778630348912,0.268525751973512,12.18,110.931372773546,0.290484463258151,11.6,26.8160323795624,0.885289860852013,30.065073861359,116.955999911479,105.397290890911,99.554743533311,118.669679357594,117.584989393915,90.8333333333333,1.13085562766891,B,1.81,105.395494463927,118.669348437704,7.68790915818253,468.85822357333,165.505720219123,179.30246610587,0.998639131721251,1.03499765612733,0.334524790980013,0.135309809499105,130.06,4.938308787,3.07745502,383988345.60705,54787.6013655632,36.8333333333333,137.686583356109,146.834378774456,132.166666666667,1.14260548254906,80.6333333333333,1.07237118627303,60.3666666666667,0.988364495028843
757,0.146,7.45,124.319740472616,0.335771563948512,9.93,117.340554807462,0.251513139940899,9.3,31.5760241978553,0.838059633308413,27.9304842178401,,62.7953880680931,60.5236716893404,111.738788643446,110.395994502396,88.2,1.09807118928878,B,1.42,62.7946918518915,111.738378783321,9.76215451753327,432.538096371703,149.594496937458,165.995964549056,0.940401975275585,1.11049801312183,0.269802655541648,0.155186385435802,106.88,4.11016815733333,2.524372,506697792.312486,49060.9875738177,41.6666666666667,117.190778717715,135.876344091183,115.3,0.996790003565494,72.6,0.965533048244172,53.7333333333333,0.879759009379622
758,0.146,8.61,127.125083195971,0.224900647361482,10.21,124.448272885826,0.343381632337115,9.5,25.2741548045278,0.900933744715038,36.3846188314344,81.1172602121292,108.349730488483,103.35937479111,84.1519280411758,83.3830613868702,85.2,1.06072182910889,B,1.56,108.348198528203,84.1516934735874,5.51633990138698,232.236936047635,158.08521107031,180.206804789886,1.12379199886894,1.05959711891968,0.304682827189676,0.135281900909074,115.38,4.38090685444444,2.2362835375,424804839.249441,47460.5426862329,39,131.349207240695,141.554288302381,122.866666666667,1.06220524808974,73.5,0.977502466197612,57.1,0.934880386518172
760,0.138,7.99,131.669804235597,0.208467515841132,11.21,117.978814809419,0.306353732023895,13,21.6280728877028,0.936522814776602,31.4367493256087,88.4949705607642,108.473531024386,100.900103666012,103.56137947053,102.312385483248,85.7666666666667,1.06777670825398,E,1.69,108.471196678473,103.560998238207,8.36252868852044,353.811037419263,151.808599925764,167.837097093318,1.03747928306418,1.02615852328369,0.375888575581199,0.155465385414189,111.64,4.911483039375,2.52435037,392352033.373703,51281.125785297,37,129.238932971703,134.327350622832,119.8,1.03569334282,73.6333333333333,0.979275713301825,56.0666666666667,0.917961944030102
761,0.146,11.96,154.527536787919,0.283624018869407,8.77,130.20767678607,0.346200502060588,10.3,27.9526835715446,1.01124020069297,39.9101217036541,107.511548718611,119.344816911854,115.986350719521,71.6947392313062,69.8319310035162,85.8333333333333,1.06860669403576,E,1.68,119.343789031448,71.6941693137884,8.79861131847963,509.912401532367,161.511781949174,188.149586318457,0.985554174254026,1.15280369225662,0.237797592964051,0.228454794207889,126.82,5.72698994766667,3.1712625,244533556.997912,36986.9769217046,37.6666666666667,131.978878280868,146.36619858255,123.133333333333,1.06451063115667,78.5666666666667,1.04488585615772,60.2333333333333,0.986181470191673
762,0.156,9.1,129.176480231156,0.208491664201234,11.53,118.89831438584,0.246494969087562,10.8,23.0872389617192,0.937875763475512,26.0140471629984,81.022588002805,123.528761112837,115.006476260302,132.384346798195,128.834720297818,79.8,0.993492980785091,E,1.58,123.526134673853,132.383260654706,10.6720738006841,1177.79391920003,158.384511556457,174.634547241359,1.10734590038264,1.05535813811102,0.373626795214826,0.232093624281872,120.48,4.49929559480769,1.67464229,466209053.150423,69302.813502631,30.1666666666667,134.157599068371,146.590820424337,114.333333333333,0.988432989947859,68.9333333333333,0.916768752878305,54.0333333333333,0.884670815263255
765,0.168,7.49,136.268356689373,0.297282470806653,9.99,131.922110086627,0.305965936261681,12.1,19.9128145138985,0.916219630002612,30.4155261288901,85.8960817565648,71.3063005364149,69.8472914824128,92.4076230547413,90.8837402568548,85.8333333333333,1.06860669403576,E,1.49,71.3058545733575,92.4071575723979,9.02772379795623,336.780947623834,163.654544281571,185.588914959623,0.66982807495735,0.994082102750057,0.202639145790338,0.181859301590349,114.88,4.87574980275862,1.89139637,351525213.415911,43487.7764855281,38.8333333333333,142.088290072988,152.911468047418,120.133333333333,1.03857507165367,74.5,0.990801819479212,57.3666666666667,0.939246436192512
766,0.146,8.71,136.789200457536,0.186954430756652,12.31,135.735748162366,0.258190795398653,10.8,20.4074677115027,0.961244997930072,28.9654385436167,,131.855357995303,125.916555613262,134.937508472044,131.831813989878,88.7666666666667,1.10512606843387,E,1.69,131.853535191222,134.936558773068,8.69483652718032,583.308668686493,169.758404021754,190.168334933339,1.09157443495233,1.1218617805059,0.301272322558536,0.214963401868312,980.04,5.22632838948276,2.69576168,477895434.493661,60916.4120293984,40.6666666666667,147.448840520589,158.854143589428,125.866666666667,1.08814080759274,83.2,1.10650619302913,68.3333333333333,1.11880022904977
770,0.145,9.66,138.59391173196,0.274886806963268,14.11,124.152390205359,0.276567832945215,11.1,21.44381187046,0.90752982832784,30.3226024310986,NaN,99.4577475126434,96.8405709313138,144.391203557145,139.862226603937,89.1333333333333,1.10969099023364,E,1.93,99.4569467549167,144.389816681032,7.25538277353121,511.998221684688,168.831505944151,191.191369508534,0.780096073265729,1.09638934174623,0.229915992501069,0.251122972695268,152.26,4.55722552677419,2.70030779,500175972.50899,57344.6034745099,39.5,145.684510322641,158.78197652796,128.966666666667,1.11494088574585,82.8,1.10118645171649,62.5,1.02329289242357
771,0.145,10.33,127.017601864529,0.219366798773838,14.1,129.018385595085,0.254070739416389,10.5,24.6304468460583,0.952656744449542,27.7090867717021,NaN,133.273809984095,123.401045565097,157.06515621997,153.529776668113,88.2333333333333,1.09848618217967,E,1.83,133.270764697269,157.064075218452,6.2523910995297,409.852313207217,164.252571903908,189.29264471339,1.12279738701259,1.09060519268575,0.387329122917134,0.212574470482441,147.94,4.69723710316667,2.54562822,422741344.852469,48452.761824741,39.8333333333333,138.548274556998,159.223119586705,127.9,1.10571935347811,81.8,1.08788709843489,61.1333333333333,1.00091688784257
773,0.156,8.04,130.668267816029,0.248934874317534,11.52,120.20955430345,0.312721948047656,11.6,22.0224444483517,0.914972835862367,32.4984682125012,111.053927661556,91.4083132928446,88.0876921816768,104.258027901314,102.506713620161,99.8,1.24248871531769,E,1.72,91.4072955913686,104.257492920649,7.83264181108222,480.521155943315,163.178297018025,177.079358927599,0.884666903692269,1.03921289872333,0.270368061835053,0.183549035252314,133.31,4.88872125689655,2.59883502,440026066.163639,60895.8200974379,35.1666666666667,139.654048728162,142.504999019727,127.4,1.10139676022761,77.7666666666667,1.03424637353244,63.8,1.04457738458598
785,0.149,9.32,119.940292336617,0.274946896706601,13.04,122.870940386509,0.297530688819771,10.3,23.5577509895353,0.960425056631198,31.6824294096983,96.1263629230579,95.9361927940348,92.8811833890517,124.039844507314,123.173274895686,86.7,1.07939650919884,B,1.68,95.9352572050168,124.039580227274,7.12123596183546,449.627199184066,156.344836629099,173.606300290052,0.85681094319366,1.0648457655032,0.253040071192017,0.118273999545726,131.49,4.45878796057692,2.47600109,347183878.825934,47925.2715799545,31.8333333333333,131.434562794279,139.590719259374,120.2,1.0391514174204,76.3666666666667,1.0156272789382,57.3,0.938154923773927
786,0.155,9.32,155.771256212057,0.294660686066271,10.39,122.835211180824,0.371963330001067,12.2,26.0137232489254,0.981366630307337,37.0125347400846,92.0843385171024,89.5177393452263,83.6035607945437,79.0552670266558,76.5142994023718,88.8,1.10554106132476,D,1.77,89.5159175951713,79.0544888226229,6.0690994052979,291.285043126545,162.277696599543,185.126305607953,0.88283658048209,0.995058699468531,0.365534362303764,0.2542256228918,132.17,5.57838685333333,2.7,178144180.644498,28854.0147882311,34.5,136.027861726395,146.659160498077,125.166666666667,1.08208917704204,81.4,1.08256735712225,60.1,0.983998445354503
788,0.126,8.44,128.035254766526,0.275532772874454,11.21,104.049095931622,0.307451781979722,8.8,30.2979324476911,0.920978575836582,32.0016367224462,84.6207544639196,86.6931080598321,82.1641382014616,103.19151474761,101.972735740993,88,1.09558123194346,B,1.46,86.691716278172,103.191142753389,10.5424010952803,380.679320194505,155.282364459791,166.615352666112,1.09961265702125,1.04086684801055,0.324662014681242,0.153845169233213,111.8,4.64069788788461,2.20538996,240073038.004717,28483.8331437614,38.6666666666667,124.040647296852,132.561465169775,121.2,1.0477966039214,78.2666666666667,1.04089605017324,55.1666666666667,0.903226526379203
789,0.168,10.77,129.536560014274,0.279898724094288,13.91,121.211741335725,0.337498864831868,12.9,24.0938985602183,0.992025608945098,33.3960711052133,99.3407088739372,108.900575285237,105.214258992578,116.646094640685,114.331487691433,93.3333333333333,1.16198009448549,B,1.94,108.899445978042,116.645387227605,6.74051265871682,346.373235329307,166.561728459258,186.453564156701,0.860807731017092,0.989516546132689,0.260932975133076,0.199544283724115,136.96,5.64192923,2.40868486,398716770.450251,63739.783498525,35.1666666666667,141.021142580587,150.999521976543,132.966666666667,1.14952163174986,84.0333333333333,1.11758898743047,62.1666666666667,1.01783533033064
791,0.157,9.39,126.030234538615,0.22666711303082,12.91,125.095720976525,0.266660691681648,15.5,23.4242103314817,0.949039524524505,31.3753216964005,106.40880799874,117.244497195761,110.50965312232,137.019579521218,133.787252220907,79.9333333333333,0.995152952348641,D,1.82,117.242425703388,137.018591003413,7.00347545975598,412.191741809275,154.170264674862,179.873783639765,1.03341900897183,1.17660092676343,0.340591421148523,0.217640053647613,133.1,4.37598976875,1.76704121,530288360.257202,60914.8566102584,37.8333333333333,129.655231167356,146.380078801349,118.766666666667,1.02675998343563,74.8333333333333,0.995234937239746,59.3666666666667,0.971991808750067
792,0.146,11.58,105.19466259742,0.249689781866366,8.6,126.085844362836,0.271017007508208,10.5,26.5201240846517,0.883598343919396,30.3290594109798,75.6780506235894,131.257213093329,123.559581566068,89.8084694584057,88.2007726881295,79.8666666666667,0.994322966566866,D,1.56,131.25484498353,89.8079782582471,,,153.818178073248,180.983337121502,1.06212292254896,1.11908325200075,0.344173644905318,0.189499657692879,121.393,4.41035629274194,1.50054064,282922351.983576,34369.9359503433,36.1666666666667,126.382828727058,148.399202662254,122.166666666667,1.05615361753904,71.7333333333333,0.954006942066785,57.2333333333333,0.937063411355342
793,0.157,9.04,118.886782587305,0.250500112119791,11.28,136.501383485734,0.31584355135434,10,22.9665060423686,,35.2873355025284,95.090068855424,102.135306223506,97.037868296593,101.077030589968,99.2467341326188,88.1333333333333,1.09724120350701,D,1.74,102.133740368308,101.076471359476,5.28838293036146,242.315186608949,167.962993654575,194.433689152796,0.916826178160985,1.11724096791642,0.317267828818906,0.190593030068809,122.33,4.964802504375,2.2934308,690300237.78812,69383.8851397909,49.3333333333333,143.763136575865,156.817050866217,125.233333333333,1.08266552280878,77.5,1.03069987932401,59.5,0.974174833587237
794,0.145,7.81,138.854501921125,0.209951233218978,9.35,111.811935709394,0.283000145985048,10.5,24.7846618125178,0.920540701856856,31.4196334313172,,105.280513222095,96.3387321577578,93.5061855139167,92.5943555709539,85.1333333333333,1.05989184332712,D,1.54,105.277749957024,93.5059073021621,8.21726250812351,394.364133591032,152.391960238078,167.351061866395,1.18049612914955,1.11023382415418,0.41512210229987,0.139767212950545,101.29,4.13269253982759,1.91851459,500491265.342448,56105.8716295937,36.8333333333333,126.80190389539,133.757150097284,119,1.0287771936192,76.0666666666667,1.01163747295372,53.5666666666667,0.877030228333159
795,0.133,8.91,135.722810855618,0.220707258178066,10.33,137.276618397389,0.238907660941269,10.3,22.6511780780516,0.82721679572649,27.3065834664819,93.8172465661552,114.255332335878,109.315680048816,122.373007803173,120.42553433749,85,1.05823187176357,D,1.66,114.253816666073,122.372412989122,5.88165398805245,329.118231738882,169.060306355426,190.761481772242,1.02629964528745,1.14297646877028,0.295122397860182,0.178642833445855,119.7,5.56947336112903,2.34689877,276024474.50171,41471.0182645556,35.1666666666667,144.716693815173,160.873170341351,123.366666666667,1.06652784134024,78.4666666666667,1.04355592082956,60.2333333333333,0.986181470191673
796,0.153,11.2,143.766149674976,0.217017448353686,15.26,131.468969993528,0.351918482640539,11,21.311451657287,0.968203332999058,31.8065766553831,101.021143790946,146.062509941076,137.28178432243,122.723532226062,120.798461941723,78.7,0.979798215385797,B,1.93,146.059807949891,122.722944277049,4.8200855746323,177.86163295692,166.948987388005,191.671392773045,0.982015585334614,0.903805234005607,0.348506501153796,0.177355112920138,157.81,5.68666778692308,2.74206406,404504372.192585,51722.2992808784,44.1666666666667,144.3530989896,157.621838299497,110,0.950970515110185,72.6,0.965533048244172,72.8,1.19193156109497
798,0.139,8,149.577949718053,0.267185281749988,11.76,136.001219962628,0.259346921452825,9.3,25.6952678974323,0.928570378669259,32.9310130736461,89.1249730041888,84.7408558048812,81.6653399835584,128.333965491002,125.286298367852,79.6333333333333,0.991418016330652,D,1.61,84.7399132285277,128.333033421697,6.76005295059572,343.46065282163,160.021873913803,189.376564955401,0.961702221362478,1.26976687786271,0.270240154279268,0.218369102434456,115.31,4.8871842396,2.35146876,300296915.405086,49602.5584887164,31.3333333333333,132.928856002073,154.136647561837,129.633333333333,1.12070434341318,78.9333333333333,1.04976228569431,59.1666666666667,0.968717271494311
800,0.141,7.62,123.765603931418,0.218138786856812,10.17,129.819712596266,0.2610137887984,9.8,22.3538362849673,0.912156549671054,29.8336559245773,,98.8638382315987,95.5085857482781,110.273939934092,108.420572683035,90.6,1.1279506774327,D,1.57,98.8628103309481,110.273373778057,6.80594979121516,378.740769101225,164.269381193573,186.098049897461,1.02475293857944,1.14299156615132,0.261273187330586,0.183598631920971,116.02,5.60376433071429,2.22398738,292442850.270076,44306.7039606667,36.3333333333333,140.099883770429,153.860698657122,127.833333333333,1.10514300771138,78.5666666666667,1.04488585615772,63.7333333333333,1.04348587216739
797,,,,,,,,,,0.968203332999058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
